Apr 17 15:11:27.727 VTTY: Console port: waiting connection on tcp port 5000 for protocol IPv4 (FD 10)
Apr 17 15:11:27.732 slot0: C/H/S settings = 0/4/32
Apr 17 15:11:27.732 slot1: C/H/S settings = 0/4/32
Apr 17 15:11:27.975 C3745_BOOT: starting instance (CPU0 PC=0xffffffffbfc00000,idle_pc=0x6023f558,JIT on)
Apr 17 15:11:27.975 CPU0: CPU_STATE: Starting CPU (old state=2)...
Apr 17 15:11:28.132 ROM: Microcode has started.
Apr 17 15:11:28.140 ROM: trying to read bootvar 'WARM_REBOOT'
Apr 17 15:11:28.143 CPU0: IO_FPGA: write to unknown addr 0x30, value=0x0, pc=0xffffffff80a76f68 (size=1)
Apr 17 15:11:28.143 CPU0: IO_FPGA: read from unknown addr 0x30, pc=0xffffffff80a76f7c (size=1)
Apr 17 15:11:28.198 CPU0: IO_FPGA: read from unknown addr 0x6, pc=0x6023fca4 (size=2)
Apr 17 15:11:28.199 CPU0: IO_FPGA: read from unknown addr 0x10000a, pc=0x602475a0 (size=2)
Apr 17 15:11:28.199 CPU0: IO_FPGA: write to unknown addr 0x10000a, value=0x0, pc=0x602475b0 (size=2)
Apr 17 15:11:28.199 ROM: unhandled syscall 0x00000047 at pc=0x60a786fc (a1=0x80007db4,a2=0x00000010,a3=0xbfb00000)
Apr 17 15:11:28.555 ROM: trying to read bootvar 'RANDOM_NUM'
Apr 17 15:11:28.573 CPU0: IO_FPGA: write to unknown addr 0x2e, value=0x20, pc=0x60254a54 (size=2)
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x10000000) for device 'gt96100' at pc=0x60257878: bus=0,device=0,function=0,reg=0x94
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x04000000) for device 'gt96100' at pc=0x60257874: bus=0,device=0,function=0,reg=0x20
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x04000000) for device 'gt96100' at pc=0x60257878: bus=0,device=0,function=0,reg=0x20
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x04000000) for device 'gt96100' at pc=0x60257874: bus=0,device=0,function=0,reg=0xa0
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x04000000) for device 'gt96100' at pc=0x60257878: bus=0,device=0,function=0,reg=0xa0
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x00000146) for device 'gt96100' at pc=0x60257874: bus=0,device=0,function=0,reg=0x04
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x00000146) for device 'gt96100' at pc=0x60257878: bus=0,device=0,function=0,reg=0x04
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x00000146) for device 'gt96100' at pc=0x60257874: bus=0,device=0,function=0,reg=0x84
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x00000146) for device 'gt96100' at pc=0x60257878: bus=0,device=0,function=0,reg=0x84
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x00000007) for device 'gt96100' at pc=0x60257874: bus=0,device=0,function=0,reg=0x0c
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x00000007) for device 'gt96100' at pc=0x60257878: bus=0,device=0,function=0,reg=0x0c
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x00000007) for device 'gt96100' at pc=0x60257874: bus=0,device=0,function=0,reg=0x8c
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x00000007) for device 'gt96100' at pc=0x60257878: bus=0,device=0,function=0,reg=0x8c
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x60257874: bus=0,device=0,function=0,reg=0x10
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x60257878: bus=0,device=0,function=0,reg=0x10
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x60257874: bus=0,device=0,function=0,reg=0x90
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x60257878: bus=0,device=0,function=0,reg=0x90
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x20000000) for device 'gt96100' at pc=0x60257874: bus=0,device=0,function=0,reg=0x14
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x20000000) for device 'gt96100' at pc=0x60257878: bus=0,device=0,function=0,reg=0x14
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x20000000) for device 'gt96100' at pc=0x60257874: bus=0,device=0,function=0,reg=0x94
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0x20000000) for device 'gt96100' at pc=0x60257878: bus=0,device=0,function=0,reg=0x94
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0xc0000000) for unknown device at pc=0x60257874 (bus=0,device=0,function=1,reg=0x10).
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0xc0000000) for unknown device at pc=0x60257878 (bus=0,device=0,function=1,reg=0x10).
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0xc0000000) for unknown device at pc=0x60257874 (bus=0,device=0,function=1,reg=0x90).
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0xc0000000) for unknown device at pc=0x60257878 (bus=0,device=0,function=1,reg=0x90).
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0xe0000000) for unknown device at pc=0x60257874 (bus=0,device=0,function=1,reg=0x14).
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0xe0000000) for unknown device at pc=0x60257878 (bus=0,device=0,function=1,reg=0x14).
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0xe0000000) for unknown device at pc=0x60257874 (bus=0,device=0,function=1,reg=0x94).
Apr 17 15:11:28.574 CPU0: PCI: write request (data=0xe0000000) for unknown device at pc=0x60257878 (bus=0,device=0,function=1,reg=0x94).
Apr 17 15:11:28.574 CPU0: IO_FPGA: write to unknown addr 0x4c, value=0xf000, pc=0x60255098 (size=2)
Apr 17 15:11:28.574 CPU0: PCI: read request for device 'ti2050b' at pc=0x60257988: bus=0,device=1,function=0,reg=0x00
Apr 17 15:11:28.574 CPU0: PCI: read request for device 'ti2050b' at pc=0x6025798c: bus=0,device=1,function=0,reg=0x00
Apr 17 15:11:28.575 CPU0: PCI: read request for device 'ti2050b' at pc=0x60257988: bus=0,device=1,function=0,reg=0x40
Apr 17 15:11:28.575 CPU0: PCI: read request for device 'ti2050b' at pc=0x6025798c: bus=0,device=1,function=0,reg=0x40
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x04
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x04
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x0c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x0c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00040100) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x18
Apr 17 15:11:28.575 PCI: PCI bridge 0,1,0 -> pri: 00, sec: 01, sub: 04
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00040100) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x18
Apr 17 15:11:28.575 PCI: PCI bridge 0,1,0 -> pri: 00, sec: 01, sub: 04
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x02801f00) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x1c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x02801f00) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x1c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x4d704d00) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x20
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x4d704d00) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x20
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00014d01) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x24
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00014d01) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x24
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x30
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x30
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x3c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x3c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x40
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x40
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x64
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x64
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x68
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x68
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x04
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x04
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0xf0
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0xf0
Apr 17 15:11:28.575 CPU0: PCI: read request for device 'ti2050b' at pc=0x60257988: bus=0,device=2,function=0,reg=0x00
Apr 17 15:11:28.575 CPU0: PCI: read request for device 'ti2050b' at pc=0x6025798c: bus=0,device=2,function=0,reg=0x00
Apr 17 15:11:28.575 CPU0: PCI: read request for device 'ti2050b' at pc=0x60257988: bus=0,device=2,function=0,reg=0x40
Apr 17 15:11:28.575 CPU0: PCI: read request for device 'ti2050b' at pc=0x6025798c: bus=0,device=2,function=0,reg=0x40
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x60257854: bus=0,device=2,function=0,reg=0x04
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x60257860: bus=0,device=2,function=0,reg=0x04
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x60257854: bus=0,device=2,function=0,reg=0x0c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x60257860: bus=0,device=2,function=0,reg=0x0c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00080500) for device 'ti2050b' at pc=0x60257854: bus=0,device=2,function=0,reg=0x18
Apr 17 15:11:28.575 PCI: PCI bridge 0,2,0 -> pri: 00, sec: 05, sub: 08
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00080500) for device 'ti2050b' at pc=0x60257860: bus=0,device=2,function=0,reg=0x18
Apr 17 15:11:28.575 PCI: PCI bridge 0,2,0 -> pri: 00, sec: 05, sub: 08
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x02803f20) for device 'ti2050b' at pc=0x60257854: bus=0,device=2,function=0,reg=0x1c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x02803f20) for device 'ti2050b' at pc=0x60257860: bus=0,device=2,function=0,reg=0x1c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x4df04d80) for device 'ti2050b' at pc=0x60257854: bus=0,device=2,function=0,reg=0x20
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x4df04d80) for device 'ti2050b' at pc=0x60257860: bus=0,device=2,function=0,reg=0x20
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00014d81) for device 'ti2050b' at pc=0x60257854: bus=0,device=2,function=0,reg=0x24
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00014d81) for device 'ti2050b' at pc=0x60257860: bus=0,device=2,function=0,reg=0x24
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x60257854: bus=0,device=2,function=0,reg=0x30
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x60257860: bus=0,device=2,function=0,reg=0x30
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x60257854: bus=0,device=2,function=0,reg=0x3c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x60257860: bus=0,device=2,function=0,reg=0x3c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257854: bus=0,device=2,function=0,reg=0x40
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257860: bus=0,device=2,function=0,reg=0x40
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257854: bus=0,device=2,function=0,reg=0x64
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257860: bus=0,device=2,function=0,reg=0x64
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257854: bus=0,device=2,function=0,reg=0x68
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257860: bus=0,device=2,function=0,reg=0x68
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x60257854: bus=0,device=2,function=0,reg=0x04
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x60257860: bus=0,device=2,function=0,reg=0x04
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x60257854: bus=0,device=2,function=0,reg=0xf0
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x60257860: bus=0,device=2,function=0,reg=0xf0
Apr 17 15:11:28.575 CPU0: PCI: read request for device 'ti2050b' at pc=0x60257988: bus=0,device=3,function=0,reg=0x00
Apr 17 15:11:28.575 CPU0: PCI: read request for device 'ti2050b' at pc=0x6025798c: bus=0,device=3,function=0,reg=0x00
Apr 17 15:11:28.575 CPU0: PCI: read request for device 'ti2050b' at pc=0x60257988: bus=0,device=3,function=0,reg=0x40
Apr 17 15:11:28.575 CPU0: PCI: read request for device 'ti2050b' at pc=0x6025798c: bus=0,device=3,function=0,reg=0x40
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x60257854: bus=0,device=3,function=0,reg=0x04
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x60257860: bus=0,device=3,function=0,reg=0x04
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x60257854: bus=0,device=3,function=0,reg=0x0c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x60257860: bus=0,device=3,function=0,reg=0x0c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x000c0900) for device 'ti2050b' at pc=0x60257854: bus=0,device=3,function=0,reg=0x18
Apr 17 15:11:28.575 PCI: PCI bridge 0,3,0 -> pri: 00, sec: 09, sub: 12
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x000c0900) for device 'ti2050b' at pc=0x60257860: bus=0,device=3,function=0,reg=0x18
Apr 17 15:11:28.575 PCI: PCI bridge 0,3,0 -> pri: 00, sec: 09, sub: 12
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x02809f80) for device 'ti2050b' at pc=0x60257854: bus=0,device=3,function=0,reg=0x1c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x02809f80) for device 'ti2050b' at pc=0x60257860: bus=0,device=3,function=0,reg=0x1c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x4e704e00) for device 'ti2050b' at pc=0x60257854: bus=0,device=3,function=0,reg=0x20
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x4e704e00) for device 'ti2050b' at pc=0x60257860: bus=0,device=3,function=0,reg=0x20
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00014e01) for device 'ti2050b' at pc=0x60257854: bus=0,device=3,function=0,reg=0x24
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00014e01) for device 'ti2050b' at pc=0x60257860: bus=0,device=3,function=0,reg=0x24
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x60257854: bus=0,device=3,function=0,reg=0x30
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x60257860: bus=0,device=3,function=0,reg=0x30
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x60257854: bus=0,device=3,function=0,reg=0x3c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x60257860: bus=0,device=3,function=0,reg=0x3c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257854: bus=0,device=3,function=0,reg=0x40
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257860: bus=0,device=3,function=0,reg=0x40
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257854: bus=0,device=3,function=0,reg=0x64
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257860: bus=0,device=3,function=0,reg=0x64
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257854: bus=0,device=3,function=0,reg=0x68
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257860: bus=0,device=3,function=0,reg=0x68
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x60257854: bus=0,device=3,function=0,reg=0x04
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x60257860: bus=0,device=3,function=0,reg=0x04
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x60257854: bus=0,device=3,function=0,reg=0xf0
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x60257860: bus=0,device=3,function=0,reg=0xf0
Apr 17 15:11:28.575 CPU0: PCI: read request for device 'ti2050b' at pc=0x60257988: bus=0,device=4,function=0,reg=0x00
Apr 17 15:11:28.575 CPU0: PCI: read request for device 'ti2050b' at pc=0x6025798c: bus=0,device=4,function=0,reg=0x00
Apr 17 15:11:28.575 CPU0: PCI: read request for device 'ti2050b' at pc=0x60257988: bus=0,device=4,function=0,reg=0x40
Apr 17 15:11:28.575 CPU0: PCI: read request for device 'ti2050b' at pc=0x6025798c: bus=0,device=4,function=0,reg=0x40
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x60257854: bus=0,device=4,function=0,reg=0x04
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x60257860: bus=0,device=4,function=0,reg=0x04
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x60257854: bus=0,device=4,function=0,reg=0x0c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x60257860: bus=0,device=4,function=0,reg=0x0c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00100d00) for device 'ti2050b' at pc=0x60257854: bus=0,device=4,function=0,reg=0x18
Apr 17 15:11:28.575 PCI: PCI bridge 0,4,0 -> pri: 00, sec: 13, sub: 16
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00100d00) for device 'ti2050b' at pc=0x60257860: bus=0,device=4,function=0,reg=0x18
Apr 17 15:11:28.575 PCI: PCI bridge 0,4,0 -> pri: 00, sec: 13, sub: 16
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x0280bfa0) for device 'ti2050b' at pc=0x60257854: bus=0,device=4,function=0,reg=0x1c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x0280bfa0) for device 'ti2050b' at pc=0x60257860: bus=0,device=4,function=0,reg=0x1c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x4ef04e80) for device 'ti2050b' at pc=0x60257854: bus=0,device=4,function=0,reg=0x20
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x4ef04e80) for device 'ti2050b' at pc=0x60257860: bus=0,device=4,function=0,reg=0x20
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00014e81) for device 'ti2050b' at pc=0x60257854: bus=0,device=4,function=0,reg=0x24
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00014e81) for device 'ti2050b' at pc=0x60257860: bus=0,device=4,function=0,reg=0x24
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x60257854: bus=0,device=4,function=0,reg=0x30
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x60257860: bus=0,device=4,function=0,reg=0x30
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x60257854: bus=0,device=4,function=0,reg=0x3c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x60257860: bus=0,device=4,function=0,reg=0x3c
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257854: bus=0,device=4,function=0,reg=0x40
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257860: bus=0,device=4,function=0,reg=0x40
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257854: bus=0,device=4,function=0,reg=0x64
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257860: bus=0,device=4,function=0,reg=0x64
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257854: bus=0,device=4,function=0,reg=0x68
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257860: bus=0,device=4,function=0,reg=0x68
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x60257854: bus=0,device=4,function=0,reg=0x04
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x60257860: bus=0,device=4,function=0,reg=0x04
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x60257854: bus=0,device=4,function=0,reg=0xf0
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x60257860: bus=0,device=4,function=0,reg=0xf0
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x24000000) for device 'gt96100' at pc=0x60257874: bus=0,device=0,function=0,reg=0x20
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x24000000) for device 'gt96100' at pc=0x60257878: bus=0,device=0,function=0,reg=0x20
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x24000000) for device 'gt96100' at pc=0x60257874: bus=0,device=0,function=0,reg=0xa0
Apr 17 15:11:28.575 CPU0: PCI: write request (data=0x24000000) for device 'gt96100' at pc=0x60257878: bus=0,device=0,function=0,reg=0xa0
